Unnamed: 0,raw_data,date,price,percent,district,small_district
0,"2015年01月房价
25072元/㎡
2%↓
罗湖
huangbeiling",2015年01月房价,25072元/㎡,2%↓,罗湖,huangbeiling
1,"2015年02月房价
27678元/㎡
10%↑
罗湖
huangbeiling",2015年02月房价,27678元/㎡,10%↑,罗湖,huangbeiling
2,"2015年03月房价
26109元/㎡
6%↓
罗湖
huangbeiling",2015年03月房价,26109元/㎡,6%↓,罗湖,huangbeiling
3,"2015年04月房价
26668元/㎡
2%↑
罗湖
huangbeiling",2015年04月房价,26668元/㎡,2%↑,罗湖,huangbeiling
4,"2015年05月房价
27871元/㎡
5%↑
罗湖
huangbeiling",2015年05月房价,27871元/㎡,5%↑,罗湖,huangbeiling
5,"2015年06月房价
30290元/㎡
9%↑
罗湖
huangbeiling",2015年06月房价,30290元/㎡,9%↑,罗湖,huangbeiling
6,"2015年07月房价
33539元/㎡
11%↑
罗湖
huangbeiling",2015年07月房价,33539元/㎡,11%↑,罗湖,huangbeiling
7,"2015年08月房价
34448元/㎡
3%↑
罗湖
huangbeiling",2015年08月房价,34448元/㎡,3%↑,罗湖,huangbeiling
8,"2015年09月房价
35100元/㎡
2%↑
罗湖
huangbeiling",2015年09月房价,35100元/㎡,2%↑,罗湖,huangbeiling
9,"2015年10月房价
36384元/㎡
4%↑
罗湖
huangbeiling",2015年10月房价,36384元/㎡,4%↑,罗湖,huangbeiling
10,"2015年11月房价
37610元/㎡
3%↑
罗湖
huangbeiling",2015年11月房价,37610元/㎡,3%↑,罗湖,huangbeiling
11,"2015年12月房价
39580元/㎡
5%↑
罗湖
huangbeiling",2015年12月房价,39580元/㎡,5%↑,罗湖,huangbeiling
12,"2015年01月房价
24892元/㎡
2%↓
盐田
shatoujiao",2015年01月房价,24892元/㎡,2%↓,盐田,shatoujiao
13,"2015年02月房价
25778元/㎡
4%↑
盐田
shatoujiao",2015年02月房价,25778元/㎡,4%↑,盐田,shatoujiao
14,"2015年03月房价
23822元/㎡
8%↓
盐田
shatoujiao",2015年03月房价,23822元/㎡,8%↓,盐田,shatoujiao
15,"2015年04月房价
25100元/㎡
5%↑
盐田
shatoujiao",2015年04月房价,25100元/㎡,5%↑,盐田,shatoujiao
16,"2015年05月房价
25513元/㎡
2%↑
盐田
shatoujiao",2015年05月房价,25513元/㎡,2%↑,盐田,shatoujiao
17,"2015年06月房价
27800元/㎡
9%↑
盐田
shatoujiao",2015年06月房价,27800元/㎡,9%↑,盐田,shatoujiao
18,"2015年07月房价
31560元/㎡
14%↑
盐田
shatoujiao",2015年07月房价,31560元/㎡,14%↑,盐田,shatoujiao
19,"2015年08月房价
32716元/㎡
4%↑
盐田
shatoujiao",2015年08月房价,32716元/㎡,4%↑,盐田,shatoujiao
20,"2015年09月房价
35153元/㎡
7%↑
盐田
shatoujiao",2015年09月房价,35153元/㎡,7%↑,盐田,shatoujiao
21,"2015年10月房价
36701元/㎡
4%↑
盐田
shatoujiao",2015年10月房价,36701元/㎡,4%↑,盐田,shatoujiao
22,"2015年11月房价
37501元/㎡
2%↑
盐田
shatoujiao",2015年11月房价,37501元/㎡,2%↑,盐田,shatoujiao
23,"2015年12月房价
39054元/㎡
4%↑
盐田
shatoujiao",2015年12月房价,39054元/㎡,4%↑,盐田,shatoujiao
24,"2019年01月房价
85030元/㎡
0.12%↓
罗湖
yinhu",2019年01月房价,85030元/㎡,0.12%↓,罗湖,yinhu
25,"2019年02月房价
89413元/㎡
5.16%↑
罗湖
yinhu",2019年02月房价,89413元/㎡,5.16%↑,罗湖,yinhu
26,"2019年03月房价
92884元/㎡
3.88%↑
罗湖
yinhu",2019年03月房价,92884元/㎡,3.88%↑,罗湖,yinhu
27,"2019年04月房价
93792元/㎡
0.98%↑
罗湖
yinhu",2019年04月房价,93792元/㎡,0.98%↑,罗湖,yinhu
28,"2019年05月房价
93391元/㎡
0.43%↓
罗湖
yinhu",2019年05月房价,93391元/㎡,0.43%↓,罗湖,yinhu
29,"2019年06月房价
92789元/㎡
0.64%↓
罗湖
yinhu",2019年06月房价,92789元/㎡,0.64%↓,罗湖,yinhu
30,"2019年07月房价
97466元/㎡
5.04%↑
罗湖
yinhu",2019年07月房价,97466元/㎡,5.04%↑,罗湖,yinhu
31,"2019年08月房价
102530元/㎡
5.2%↑
罗湖
yinhu",2019年08月房价,102530元/㎡,5.2%↑,罗湖,yinhu
32,"2019年09月房价
97673元/㎡
4.74%↓
罗湖
yinhu",2019年09月房价,97673元/㎡,4.74%↓,罗湖,yinhu
33,"2019年10月房价
99575元/㎡
1.95%↑
罗湖
yinhu",2019年10月房价,99575元/㎡,1.95%↑,罗湖,yinhu
34,"2019年11月房价
94939元/㎡
4.65%↓
罗湖
yinhu",2019年11月房价,94939元/㎡,4.65%↓,罗湖,yinhu
35,"2019年12月房价
98036元/㎡
3.26%↑
罗湖
yinhu",2019年12月房价,98036元/㎡,3.26%↑,罗湖,yinhu
36,"2019年01月房价
26128元/㎡
0.54%↓
龙华
longhuaquzhengfu",2019年01月房价,26128元/㎡,0.54%↓,龙华,longhuaquzhengfu
