,price,year_month
0,17467,2011-01
1,18225,2011-02
2,18926,2011-03
3,19070,2011-04
4,19040,2011-05
5,19085,2011-06
6,18941,2011-07
7,18778,2011-08
8,18613,2011-09
9,18338,2011-10
10,18018,2011-11
11,17428,2011-12
0,17100,2012-01
1,16926,2012-02
2,17457,2012-03
3,17831,2012-04
4,17844,2012-05
5,17953,2012-06
6,18255,2012-07
7,18636,2012-08
8,18836,2012-09
9,18979,2012-10
10,19144,2012-11
11,19298,2012-12
0,19550,2013-01
1,19915,2013-02
2,20796,2013-03
3,21584,2013-04
4,21690,2013-05
5,21181,2013-06
6,21434,2013-07
7,22734,2013-08
8,24192,2013-09
9,24560,2013-10
10,24718,2013-11
11,24910,2013-12
0,24881,2014-01
1,25147,2014-02
2,25611,2014-03
3,26084,2014-04
4,26090,2014-05
5,25498,2014-06
6,26688,2014-07
7,26570,2014-08
8,26570,2014-09
9,27658,2014-10
10,28123,2014-11
11,28117,2014-12
0,28993,2015-01
1,29110,2015-02
2,29436,2015-03
3,30791,2015-04
4,33384,2015-05
5,36762,2015-06
6,39900,2015-07
7,39972,2015-08
8,40230,2015-09
9,40118,2015-10
10,39451,2015-11
11,41494,2015-12
0,45024,2016-01
1,47345,2016-02
2,48829,2016-03
3,46989,2016-04
4,45851,2016-05
5,44600,2016-06
6,44704,2016-07
7,45453,2016-08
8,45764,2016-09
9,45143,2016-10
10,44982,2016-11
11,43289,2016-12
0,46049,2017-01
1,46500,2017-02
2,47512,2017-03
3,49037,2017-04
4,49367,2017-05
5,49709,2017-06
6,50077,2017-07
7,50477,2017-08
8,50777,2017-09
9,51077,2017-10
10,51277,2017-11
11,51477,2017-12
0,51732,2018-01
1,52077,2018-02
2,52240,2018-03
3,52685,2018-04
4,52850,2018-05
5,53350,2018-06
6,53850,2018-07
7,54233,2018-08
8,54199,2018-09
9,53768,2018-10
10,53716,2018-11
11,53205,2018-12
0,53678,2019-01
1,53763,2019-02
2,53853,2019-03
3,54336,2019-04
4,54018,2019-05
5,53816,2019-06
6,54116,2019-07
7,54180,2019-08
8,54333,2019-09
9,54398,2019-10
10,54709,2019-11
11,54790,2019-12
0,54914,2020-01
1,55088,2020-02
2,55251,2020-03
3,55396,2020-04
4,55545,2020-05
5,55733,2020-06
6,56033,2020-07
7,56142,2020-08
8,56286,2020-09
9,56443,2020-10
10,56565,2020-11
