Price,Region,Longitude,Latitude,Year_Month,District
15837,dongmen,114.137432,22.554485,Jan-11,Luohu
18070,liantang,114.168136,22.565189,Jan-11,Luohu
15513,huangbeiling,114.147776,22.555274,Jan-11,Luohu
17102,cuizhu,114.136934,22.571853,Jan-11,Luohu
9056,songgang,113.84849,22.772051,Jan-11,Baoan
11804,xinan,113.90302,22.572611,Jan-11,Baoan
14922,baoanzhongxin,113.880356,22.568488,Jan-11,Baoan
8564,fuyong,113.818564,22.671088,Jan-11,Baoan
12440,xixiang,113.867649,22.609225,Jan-11,Baoan
30312,xiangmihu,114.029174,22.549569,Jan-11,Futian
21202,futianzhongxin,114.062828,22.534178,Jan-11,Futian
23126,chegongmiao,114.033487,22.537692,Jan-11,Futian
17757,futiankouan,114.07651,22.521408,Jan-11,Futian
20060,shekou,113.932241,22.497187,Jan-11,Nanshan
20847,kejiyuan,113.936539,22.5385,Jan-11,Nanshan
21814,qianhai,113.913241,22.522323,Jan-11,Nanshan
17106,xili,113.973377,22.593453,Jan-11,Nanshan
31815,huaqiaocheng,113.986156,22.544673,Jan-11,Nanshan
9443,longgangzhongxincheng,114.24854,22.732774,Jan-11,Longgang 
15779,bantian,114.061426,22.636774,Jan-11,Longgang
1000,nanji,180,90,Jan-11,Nanji
130000,beiji,0,90,Jan-11,Beiji
16294,dongmen,114.137432,22.554485,Feb-11,Luohu
19198,liantang,114.168136,22.565189,Feb-11,Luohu
15921,huangbeiling,114.147776,22.555274,Feb-11,Luohu
17562,cuizhu,114.136934,22.571853,Feb-11,Luohu
9039,songgang,113.84849,22.772051,Feb-11,Baoan
12257,xinan,113.90302,22.572611,Feb-11,Baoan
15407,baoanzhongxin,113.880356,22.568488,Feb-11,Baoan
8805,fuyong,113.818564,22.671088,Feb-11,Baoan
13187,xixiang,113.867649,22.609225,Feb-11,Baoan
31184,xiangmihu,114.029174,22.549569,Feb-11,Futian
22103,futianzhongxin,114.062828,22.534178,Feb-11,Futian
23676,chegongmiao,114.033487,22.537692,Feb-11,Futian
18284,futiankouan,114.07651,22.521408,Feb-11,Futian
21330,shekou,113.932241,22.497187,Feb-11,Nanshan
20204,kejiyuan,113.936539,22.5385,Feb-11,Nanshan
23027,qianhai,113.913241,22.522323,Feb-11,Nanshan
17696,xili,113.973377,22.593453,Feb-11,Nanshan
31903,huaqiaocheng,113.986156,22.544673,Feb-11,Nanshan
9721,longgangzhongxincheng,114.24854,22.732774,Feb-11,Longgang 
17291,bantian,114.061426,22.636774,Feb-11,Longgang
1000,nanji,180,90,Feb-11,Nanji
130000,beiji,0,90,Feb-11,Beiji
17564,dongmen,114.137432,22.554485,Mar-11,Luohu
